Provinsi,Tahun,IPM
KEP. BANGKA BELITUNG,2010,66.02
KEP. BANGKA BELITUNG,2011,66.59
KEP. BANGKA BELITUNG,2012,67.21
KEP. BANGKA BELITUNG,2013,67.92
KEP. BANGKA BELITUNG,2014,68.27
KEP. BANGKA BELITUNG,2015,69.05
KEP. BANGKA BELITUNG,2016,69.55
KEP. BANGKA BELITUNG,2017,69.99
KEP. BANGKA BELITUNG,2018,70.67
KEP. BANGKA BELITUNG,2019,71.3
KEP. BANGKA BELITUNG,2020,71.47
KEP. BANGKA BELITUNG,2021,71.69
KEP. RIAU,2010,71.13
KEP. RIAU,2011,71.61
KEP. RIAU,2012,72.36
KEP. RIAU,2013,73.02
KEP. RIAU,2014,73.4
KEP. RIAU,2015,73.75
KEP. RIAU,2016,73.99
KEP. RIAU,2017,74.45
KEP. RIAU,2018,74.84
KEP. RIAU,2019,75.48
KEP. RIAU,2020,75.59
KEP. RIAU,2021,75.79
LAMPUNG,2010,63.71
LAMPUNG,2011,64.2
LAMPUNG,2012,64.87
LAMPUNG,2013,65.73
LAMPUNG,2014,66.42
LAMPUNG,2015,66.95
LAMPUNG,2016,67.65
LAMPUNG,2017,68.25
LAMPUNG,2018,69.02
LAMPUNG,2019,69.57
LAMPUNG,2020,69.69
LAMPUNG,2021,69.9
MALUKU,2010,64.27
MALUKU,2011,64.75
MALUKU,2012,65.43
MALUKU,2013,66.09
MALUKU,2014,66.74
MALUKU,2015,67.05
MALUKU,2016,67.6
MALUKU,2017,68.19
MALUKU,2018,68.87
MALUKU,2019,69.45
MALUKU,2020,69.49
MALUKU,2021,69.71
MALUKU UTARA,2010,62.79
MALUKU UTARA,2011,63.19
MALUKU UTARA,2012,63.93
MALUKU UTARA,2013,64.78
MALUKU UTARA,2014,65.18
MALUKU UTARA,2015,65.91
MALUKU UTARA,2016,66.63
MALUKU UTARA,2017,67.2
MALUKU UTARA,2018,67.76
MALUKU UTARA,2019,68.7
MALUKU UTARA,2020,68.49
MALUKU UTARA,2021,68.76
NUSA TENGGARA BARAT,2010,61.16
NUSA TENGGARA BARAT,2011,62.14
NUSA TENGGARA BARAT,2012,62.98
NUSA TENGGARA BARAT,2013,63.76
NUSA TENGGARA BARAT,2014,64.31
NUSA TENGGARA BARAT,2015,65.19
NUSA TENGGARA BARAT,2016,65.81
NUSA TENGGARA BARAT,2017,66.58
NUSA TENGGARA BARAT,2018,67.3
NUSA TENGGARA BARAT,2019,68.14
NUSA TENGGARA BARAT,2020,68.25
NUSA TENGGARA BARAT,2021,68.65
NUSA TENGGARA TIMUR,2010,59.21
NUSA TENGGARA TIMUR,2011,60.24
NUSA TENGGARA TIMUR,2012,60.81
NUSA TENGGARA TIMUR,2013,61.68
NUSA TENGGARA TIMUR,2014,62.26
NUSA TENGGARA TIMUR,2015,62.67
NUSA TENGGARA TIMUR,2016,63.13
NUSA TENGGARA TIMUR,2017,63.73
NUSA TENGGARA TIMUR,2018,64.39
NUSA TENGGARA TIMUR,2019,65.23
NUSA TENGGARA TIMUR,2020,65.19
NUSA TENGGARA TIMUR,2021,65.28
PAPUA,2010,54.45
PAPUA,2011,55.01
PAPUA,2012,55.55
PAPUA,2013,56.25
PAPUA,2014,56.75
PAPUA,2015,57.25
PAPUA,2016,58.05
PAPUA,2017,59.09
PAPUA,2018,60.06
PAPUA,2019,60.84
PAPUA,2020,60.44
PAPUA,2021,60.62
PAPUA BARAT,2010,59.6
PAPUA BARAT,2011,59.9
PAPUA BARAT,2012,60.3
PAPUA BARAT,2013,60.91
PAPUA BARAT,2014,61.28
PAPUA BARAT,2015,61.73
PAPUA BARAT,2016,62.21
PAPUA BARAT,2017,62.99
PAPUA BARAT,2018,63.74
PAPUA BARAT,2019,64.7
PAPUA BARAT,2020,65.09
PAPUA BARAT,2021,65.26
RIAU,2010,68.65
RIAU,2011,68.9
RIAU,2012,69.15
RIAU,2013,69.91
RIAU,2014,70.33
RIAU,2015,70.84
RIAU,2016,71.2
RIAU,2017,71.79
RIAU,2018,72.44
RIAU,2019,73.0
RIAU,2020,72.71
RIAU,2021,72.94
SULAWESI BARAT,2010,59.74
SULAWESI BARAT,2011,60.63
SULAWESI BARAT,2012,61.01
SULAWESI BARAT,2013,61.53
SULAWESI BARAT,2014,62.24
SULAWESI BARAT,2015,62.96
SULAWESI BARAT,2016,63.6
SULAWESI BARAT,2017,64.3
SULAWESI BARAT,2018,65.1
SULAWESI BARAT,2019,65.73
SULAWESI BARAT,2020,66.11
SULAWESI BARAT,2021,66.36
SULAWESI SELATAN,2010,66.0
SULAWESI SELATAN,2011,66.65
SULAWESI SELATAN,2012,67.26
SULAWESI SELATAN,2013,67.92
SULAWESI SELATAN,2014,68.49
SULAWESI SELATAN,2015,69.15
SULAWESI SELATAN,2016,69.76
SULAWESI SELATAN,2017,70.34
SULAWESI SELATAN,2018,70.9
SULAWESI SELATAN,2019,71.66
SULAWESI SELATAN,2020,71.93
SULAWESI SELATAN,2021,72.24
SULAWESI TENGAH,2010,63.29
SULAWESI TENGAH,2011,64.27
SULAWESI TENGAH,2012,65.0
SULAWESI TENGAH,2013,65.79
SULAWESI TENGAH,2014,66.43
SULAWESI TENGAH,2015,66.76
SULAWESI TENGAH,2016,67.47
SULAWESI TENGAH,2017,68.11
SULAWESI TENGAH,2018,68.88
SULAWESI TENGAH,2019,69.5
SULAWESI TENGAH,2020,69.55
SULAWESI TENGAH,2021,69.79
SULAWESI TENGGARA,2010,65.99
SULAWESI TENGGARA,2011,66.52
SULAWESI TENGGARA,2012,67.07
SULAWESI TENGGARA,2013,67.55
SULAWESI TENGGARA,2014,68.07
SULAWESI TENGGARA,2015,68.75
SULAWESI TENGGARA,2016,69.31
SULAWESI TENGGARA,2017,69.86
SULAWESI TENGGARA,2018,70.61
SULAWESI TENGGARA,2019,71.2
SULAWESI TENGGARA,2020,71.45
SULAWESI TENGGARA,2021,71.66
SULAWESI UTARA,2010,67.83
SULAWESI UTARA,2011,68.31
SULAWESI UTARA,2012,69.04
SULAWESI UTARA,2013,69.49
SULAWESI UTARA,2014,69.96
SULAWESI UTARA,2015,70.39
SULAWESI UTARA,2016,71.05
SULAWESI UTARA,2017,71.66
SULAWESI UTARA,2018,72.2
SULAWESI UTARA,2019,72.99
SULAWESI UTARA,2020,72.93
SULAWESI UTARA,2021,73.3
SUMATERA BARAT,2010,67.25
SUMATERA BARAT,2011,67.81
SUMATERA BARAT,2012,68.36
SUMATERA BARAT,2013,68.91
SUMATERA BARAT,2014,69.36
SUMATERA BARAT,2015,69.98
SUMATERA BARAT,2016,70.73
SUMATERA BARAT,2017,71.24
SUMATERA BARAT,2018,71.73
SUMATERA BARAT,2019,72.39
SUMATERA BARAT,2020,72.38
SUMATERA BARAT,2021,72.65
SUMATERA SELATAN,2010,64.44
SUMATERA SELATAN,2011,65.12
SUMATERA SELATAN,2012,65.79
SUMATERA SELATAN,2013,66.16
SUMATERA SELATAN,2014,66.75
SUMATERA SELATAN,2015,67.46
SUMATERA SELATAN,2016,68.24
SUMATERA SELATAN,2017,68.86
SUMATERA SELATAN,2018,69.39
SUMATERA SELATAN,2019,70.02
SUMATERA SELATAN,2020,70.01
SUMATERA SELATAN,2021,70.24
SUMATERA UTARA,2010,67.09
SUMATERA UTARA,2011,67.34
SUMATERA UTARA,2012,67.74
SUMATERA UTARA,2013,68.36
SUMATERA UTARA,2014,68.87
SUMATERA UTARA,2015,69.51
SUMATERA UTARA,2016,70.0
SUMATERA UTARA,2017,70.57
SUMATERA UTARA,2018,71.18
SUMATERA UTARA,2019,71.74
SUMATERA UTARA,2020,71.77
SUMATERA UTARA,2021,72.0
